chunk_id,program_id,source_type,party_name,year,title,cluster_id,primary_topic_id,primary_topic_label,primary_confidence,secondary_topic_id,secondary_topic_label,secondary_confidence,review_status,reasons,text
RV_1955_chunk_000,RV_1955,party_program,Radikale Venstre,1955,Det Radikale Venstres program af 1955,18,ideologi_samfundssyn,Ideologi og samfundssyn,0.54,socialpolitik_udsatte,Socialpolitik og udsatte grupper,0.34,needs_review,"keyword:samfundssyn, keyword:liberalisme, multi_keyword:2, keyword:sociale, keyword:tryghed, multi_keyword:2","Det Radikale Venstres Program af 1955 Vedtaget på landsmødet i Odense den 20. - 22. maj 1955* Det Radikale Venstres samfundssyn I et halvt århundrede har Det Radikale Venstre øvet sin folkelige og politiske gerning. Odense-programmet af 1905 kom til at betyde et gennembrud for demokratisk reformvilje. Det danske samfund, der prægedes af privilegier og klasseskel, blev i den følgende menneskealder ved demokratiske kræfters samvirken omdannet i demokratisk ånd: Det fulde folkestyre sejrede, åndsfriheden sikredes, forrettigheder blev fjernet, klasseskel nedbrudt. Oversete befolkningsgrupper løftedes op til frimandskår. Kulturel højnelse og større social tryghed blev kendetegnet på det danske samfund i det tyvende århundrede. Men et samfund er aldrig i hvile. Udviklingen rejser nye problemer, og vort slægtleds verdenskrige med påfølgende kriser har stillet folkestyret større opgaver, end nogen forudgående tidsalder har kendt. Herunder er vurderingen af samfundssystemer, som hidtil har haft tilslutning i store befolkningskredse, ændret, og forudsætninger og vilkår for politisk virke er blevet andre. Samtidig med det tyvende århundredes sociale og økonomiske fremskridt, har der stået kamp mellem den socialistiske samfundsopfattelse, der tilstræbte samfundets omdannelse ved statsdirigering af det økonomiske liv, og en forædlet form for liberalisme, der svor til kræfternes frie spil. Begge de to idéretninger har i vor tid mistet deres magt over sindene. Troen på, at statsdirigering bringer større velstand for de brede lag, er tabt, og det erkendes, at en overmægtig statsmagt er uforenelig med et frit folkestyre."
RV_1955_chunk_001,RV_1955,party_program,Radikale Venstre,1955,Det Radikale Venstres program af 1955,18,demokrati_retsstat_forfatning,"Demokrati, retsstat og forfatning",1.02,ideologi_samfundssyn,Ideologi og samfundssyn,0.72,needs_review,"keyword:demokrati, keyword:forfatning, keyword:borgerrettigheder, multi_keyword:3, keyword:liberalisme, keyword:frihed","På den anden side vil et folkeligt demokrati aldrig kunne godkende en liberalisme, der tillader organisations- og monopolmagt ukontrolleret at trække snævre grænser for den enkeltes økonomiske frihed. I det vesteuropæiske demokrati har da en ny social betonet liberalisme taget fastere form. Den vil værne den åndelige, den personlige og den politiske frihed. Den vil bekæmpe organisationers og monopolers magtmisbrug, og den vil sikre den økonomiske frihed indenfor de grænser, der sættes af almene hensyn. Men dette grundsyn rækker videre og præger opfattelsen af verdensudviklingen: Hvad der indenfor samfundet er den enkeltes umistelige ret, må også i nationernes samfund tilkomme hvert enkelt folk. Det Radikale Venstre er et sådant socialliberalt parti. Dets hele stræben har til formål af afløse kampen mellem klasser og nationer med opbyggende samarbejde, og det ledes i sit virke af følgende grundsætninger: Forfatning og borgerrettigheder Grundloven af 1953 er præget af Det Radikale Venstres forfatningsidéer. Folket er den øverste samfundsmyndighed, hvis vilje udøves gennem folketing, folkeafstemninger og kommunale råd. Ingen regering kan bestå mod folketingets flertal. Flertallet er bestemmende for tingets beslutninger, men adgangen til folkeafstemning giver mindretallet et værn med et flertals magtmisbrug. Den nye forfatning forudsætter vilje til samarbejde. Den politiske kamp må føres under hensyn til, at det saglige arbejde ikke undergraves af partipolitiske stridigheder, så folkestyret bliver truet af indre opløsning. Adskillelsen mellem administration og lovgivningsmagt på ikke forflygtiges."
RV_1955_chunk_002,RV_1955,party_program,Radikale Venstre,1955,Det Radikale Venstres program af 1955,10,offentlig_sektor_forvaltning,Offentlig sektor og forvaltning,0.60,ligestilling_minoriteter,Ligestilling og minoriteter,0.48,needs_review,"keyword:offentlige, keyword:kommuner, keyword:administration, multi_keyword:3, keyword:repræsentation","Administrationens ansvar bør træde klart frem overfor offentligheden og den kontrollerende myndighed, der øves af folketinget og folketingets ombudsmand. 1. Ligelig repræsentation Grundloven påbyder, at der skal sikres de forskellige anskuelser blandt vælgerne en ligelig repræsentation i folketinget. Det Radikale Venstre vender sig mod alle forsøg på at bortfortolke dette grundlovsbud, hvorved betydende mindretal i befolkningen fratages deres ret til repræsentation i den lovgivende forsamling Fuldmyndighedsalderen er den naturlige valgretsalder. 2. Kommunalt selvstyre Lovgivningen skal værne om det kommunale selvstyre, der er det værdifulde bindeled mellem statsstyret og borgerne, og må medvirke til at udvikle et rationelt samarbejde mellem kommuner, der har fælles opgaver at løse. Der må tilstræbes en forenkling af lovgivningen med deraf følgende begrænsning og forenkling af den offentlige administration, og denne bør i så stort omfang som forsvarligt henlægges til lokale organer. 3. Værn om borgerrettighederne Ingen må gennem sit medlemsskab i faglige eller erhvervsøkonomiske sammenslutninger kunne tvinges til at yde bidrag til politiske partier eller formål, ingen myndigheder må føre kontrol med borgernes meninger og anskuelser, og ethvert indgreb i den personlige frihed må kunne prøves ved domstole. Det må sikres, at arbejdskonflikter ikke hindrer, at det frie ord fra talerstol og i presse når frem til befolkningen, så grundlovens bud om presse- og ytringsfrihed derved gøres illusorisk. Rang, titler og ordensvæsen afskaffes. Udenrigs- og militærpolitik Fremskridtene i videnskab og teknik har gjort verden til en enhed og skabt hidtil ukendte muligheder for højnelse af livsvilkårene – men samtidig også muligheder for altomfattende ødelæggelse."
RV_1955_chunk_003,RV_1955,party_program,Radikale Venstre,1955,Det Radikale Venstres program af 1955,4,eu_udenrig_globalt,"EU, udenrigspolitik og globalt samarbejde",1.00,,,,needs_review,"keyword:europæiske, keyword:international, keyword:internationale, keyword:nordisk","Folkene er her igennem blevet forbundet i fællesskab på godt og ondt, der gør det nødvendigt, at de opfylder deres forpligtelser ifølge Forenede Nationers pagt til at afstå fra krig og løser stridsspørgsmål ad forhandlingens vej eller ved retsafgørelse. 1. Mellemfolkelig retsorden og samvirke. Danmark bør deltage aktivt i de mellemfolkelige organisationer og navnlig arbejde for en styrkelse og udbygning af Forenede Nationer til et internationalt retssamfund, som omfatter alle stater, og som kan sikre fred, ret og samvirke mellem folkene og dermed tilvejebringe en vidtgående indskrænkning af rustningerne under international kontrol med det mål for øje at nå til en almindelig afrustning. Danmark må under skiftende verdenspolitiske konstellationer stadig se det som målet, at de nordiske lande enes om en fælles politik, der selvstændigt kan yde sit bidrag til afspænding i verden og til udvikling af det internationale retssamfund samt til løsning af de militære opgaver og forpligtelser, som medlemsskabet i Forenede Nationer indebærer. Danmark bør gennem Nordiske Råd udfolde et stærkt initiativ for at fremme det nordiske samarbejde på økonomiske, sociale, kulturelle og retlige områder. Fælles nordisk diplomatisk og konsulær tilstræbes i videst muligt omfang. Danmark bør i nært samarbejde med de andre nordiske lande medvirke i det europæiske samarbejde til fremme af et fælles europæisk vare-, arbejds- og kapitalmarked, hvorved Europas økonomiske styrke og dets muligheder som en selvstændig, formidlende faktor i verdenspolitikken vil øges."
RV_1955_chunk_004,RV_1955,party_program,Radikale Venstre,1955,Det Radikale Venstres program af 1955,3,eu_udenrig_globalt,"EU, udenrigspolitik og globalt samarbejde",1.10,,,,needs_review,"keyword:europæiske, keyword:udenrigspolitik, keyword:international, keyword:internationale","Det europæiske samarbejde på det kulturelle område støttes mest muligt. 2. Danmark og Forenede Nationer. Indenfor Forenede Nationer bør Danmark øve en selvstændig indsats for virkeliggørelse af Forenede Nationers mål: a) Bekæmpelse af nødt, sygdom og uvidenhed samt fremme af den tekniske og økonomiske udvikling i tilbagestående dele af verden, så forskellen i folkenes levevilkår mindskes, og væsentlige årsager til international spænding og konflikt dermed fjernes. b) Folkenes selvstyre og ligeberettigelse gennem afvikling af kolonistyre og af enhver forskelsbehandling på grund af race, religion, politisk overbevisning eller tilhørsforhold til et nationalt mindretal. c) Fri handel, frit rejsesamkvem og fri videnskabelig og kulturel udveksling mellem folkene. d) Vedtagelse af internationale konventioner til sikring af fundamentale menneskerettigheder vedrørende den enkeltes frihed og ligeret og til fremme af samarbejde og fremskridt på økonomiske, trafikale, sundhedsmæssige, sociale og kulturelle områder. 3. Danmark og Atlantpagten. Danmarks medlemskab af at Atlantpagten og den dermed forbundne militærpolitik tages op til ny vurdering i lyset af udviklingen af de moderne masseødelæggelsesmidler, der gør kaprustningens farer stadig mere iøjnefaldende. Atom- og brintbomben i forbindelse med fjernraketvåbenet medfører, at en beskyttelse af landet i ikke er mulig. Dansk udenrigspolitik må under disse forhold alene være bestemt af, at forebyggelse af krig er Danmarks eneste chance. Sålænge Danmark er traktatligt bundet til Atlantpagten, bør den danske regering derfor indenfor pagten af al magt støtte de kræfter, som søger at modvirke enhver politik, der beherskes af ensidige ideologiske, strategiske militære hensyn."
RV_1955_chunk_005,RV_1955,party_program,Radikale Venstre,1955,Det Radikale Venstres program af 1955,2,forsvar_sikkerhed_beredskab,"Forsvar, sikkerhed og beredskab",1.20,erhverv_konkurrence_ivaerksaetteri,"Erhverv, konkurrence og iværksætteri",0.76,needs_review,"keyword:forsvaret, keyword:nato, keyword:militær, keyword:værnepligt, keyword:erhverv, keyword:virksomheder","Danmark må udadtil gøre det klart, at dets bidrag til sit eget og til det fælles NATO-forsvar indskrænkes til et omfang, der er foreneligt med landets erhvervsmæssige og sociale fremgang, og at nyordningen af forsvaret må medføre en væsentlig nedsættelse af Danmarks militære udgifter og af den militær tjenestetid. I tilfælde, hvor beslutninger inden for NATO pålægger medlemsstaterne nye forpligtelser, der må anses for farlige for Danmark, eller skæbnesvangre for bevarelse af verdensfreden, bør Danmark gøre brug af sin vetoret. 4. Værnepligten Den tekniske udvikling indenfor militæret har i stigende grad ført til anvendelse af mandskab, der ikke udskrives ved tvungen værnepligt. Den naturlige konsekvens heraf vil være en gradvis afvikling af den tvungne værnepligt, hvor det samtidig må sikres, at mandskabet ikke får en ensidig sammensætning. Den økonomiske politik Målet for Det Radikale Venstres økonomiske politik er at sikre frihed og orden i erhvervslivet, lønnende beskæftigelse og lige adgang til uddannelse og erhverv. På dette grundlag vil de næringsdrivende og løntagernes interesse i øget produktion og omsætning mest frugtbart kunne udvikle sig, så den almindelige levefod hæves og bedre forudsætninger skabes for social og kulturel fremgang. 1. Sikring af erhvervsfriheden. Privat foretagsomhed er den værdifuldeste drivkraft i samfundslivet, og den enkelte borger skal kunne virke frit indenfor den grænse, hensynet til andres frihed sætter. Monopollovgivningen skal hindre, at storvirksomheder, sammenslutninger og organisationer kan spærre adgangen til erhverv og udøve økonomisk kontrol over bestående virksomheder, samt sikre forbrugerne mod prismæssig udnyttelse."
RV_1955_chunk_006,RV_1955,party_program,Radikale Venstre,1955,Det Radikale Venstres program af 1955,21,arbejdsmarked_beskaeftigelse,Arbejdsmarked og beskæftigelse,0.70,erhverv_konkurrence_ivaerksaetteri,"Erhverv, konkurrence og iværksætteri",0.70,needs_review,"keyword:beskæftigelse, keyword:arbejdsløshed, multi_keyword:2, keyword:virksomheder, keyword:konkurrence, keyword:eksport","2. Fri handel indadtil og udadtil. En fri og selvstændig handelsstand og en næringslovgivning, der værner erhvervsfriheden, er forudsætningen for sund konkurrence i erhvervslivet. Rationalisering indenfor handelen bør fremmes, og det skal overvåges, at kapitalinteresser ikke skaffer sig kontrol over store dele af omsætningen. Selvstændige erhvervsdrivende og kooperative virksomheder bør fra samfundets side være undergivet lige konkurrencevilkår. Danmark skal i sin handels og toldpolitik virke for et frit økonomisk samkvem mellem landene. Et fælles nordisk marked virkeliggøres. Som deltager i den vestlige verdens økonomiske samarbejde skal Danmark bekæmpe forskelsbehandling og kræve retfærdige vilkår for dansk eksport og skibsfart. Danmark må aktivt virke for øget samhandel med Østeuropa og søge at bane vej for danske eksportinteresser på de nye oversøiske markeder. 3. Beskæftigelsesmuligheder for alle. Arbejdsløshed er et menneskeligt og samfundsmæssigt onde. Der må føres en økonomiskpolitik, som giver enhver borger mulighed for at finde en beskæftigelse, der sikrer betryggende vilkår. En vigtig forudsætning for fuld beskæftigelse er, at der tilvejebringes større bevægelighed på arbejdsmarkedet, bl.a. ved nedbrydning af kunstige fagskranker og ved støtte til omskoling af ledig arbejdskraft. Offentlig bygge- og anlægsvirksomhed henlægges så vidt muligt til perioder, hvor beskæftigelsen er truet. Indenfor sæsonbetonede fag bør der ved privat og offentligt initiativ skabes øget økonomisk interesse hos arbejdere og arbejdsgivere for udjævning af sæsonsvingningerne. Kunstige skranker for deltidsarbejde fjernes."
RV_1955_chunk_007,RV_1955,party_program,Radikale Venstre,1955,Det Radikale Venstres program af 1955,2,oekonomi_skat_finans,"Økonomi, skat og finanspolitik",0.70,erhverv_konkurrence_ivaerksaetteri,"Erhverv, konkurrence og iværksætteri",0.60,needs_review,"keyword:økonomi, keyword:inflation, multi_keyword:2, keyword:virksomhed, keyword:konkurrenceevne, keyword:produktion","4. Stabilitet i landets økonomi. Produktion og omsætning indenfor de enkelte næringsgrene, arbejder- og erhvervsorganisationernes virksomhed samt statens økonomiske politik griber ind i hinanden på en måde, der ofte vanskeliggør stabilitet i dansk økonomi, ligesom ændringer i verdenskonjunkturerne ofte bringer stabiliteten i fare. Regering og folketing bør derfor i kontakt med Nationalbanken og arbejdsmarkedets organisationer gennemføre den fornødne samordning af finans-, penge-, kredit- og lønpolitikken, s inflation undgås, beskæftigelsen opretholdes og valutabalancen sikres. Man må have for øje, at et stigende omkostningsniveau ikke får lov at svække dansk erhvervslivs konkurrenceevne over for udlandet. 5. Spareviljen må styrkes. Opsparingens vigtighed for erhvervslivets nødvendige kapitaldannelse kræver, at det offentlige gennem sin politik fremmer den jævne befolkning og navnlig ungdommens forståelse af opsparingens betydning for den enkeltes uafhængighed og tryghed. Staten bør fremme småsparernes muligheder for værdifast anbringelse af opsparede midler. 6. Lige adgang til erhvervsmæssige uddannelse. Ingen må af økonomiske grunde afskæres fra adgangen til en erhvervsmæssig uddannelse. Monopolistiske spærringer for adgangen til faglig uddannelse afskaffes. Samarbejdet mellem erhvervene og det offentlige rum om den erhvervsmæssige uddannelse udbygges. Mesterlæren i håndværks- og industrifagene bevares og udbygges med praktiske fagskoler. Læretiden på værkstederne afpasses herefter, og betingelserne skabes for at fagene kan opsuge de kommende års stærke stigning i antallet af arbejds- og undervisningssøgende. Det gives ufaglærte, der længe har arbejdet indenfor samme fag, adgang til at aflægge en faglige prøve efter en supplerende uddannelse."
RV_1955_chunk_008,RV_1955,party_program,Radikale Venstre,1955,Det Radikale Venstres program af 1955,2,oekonomi_skat_finans,"Økonomi, skat og finanspolitik",0.44,,,,needs_review,"keyword:vækst, keyword:investeringer, multi_keyword:2","7. Flere selvstændige bedrifter. Ved en mere aktiv anvendelse af jordlovgivningen, hvor særligt forkøbsretten fuldt udnyttes, fremmes mest muligt oprettelsen af nye landbrug på udstykkede arealer og erhvervelse af tillægsjord for små brug. Brugene bør fortrinsvist oprettes på jordrentevilkår. Staten bør fremme og støtte arbejdet for ved inddæmning, kultivering og afvanding at vinde nyt land til erstatning for de arealer, som vejanlæg, byernes vækst samt militære og andre offentlige anlæg beslaglægger. En kreditreform gennemføres, så lånemulighederne bringes i bedre overensstemmelse med realværdierne i bedrifterne. Herved lettes adgangen til kapital såvel til udvidelser og moderniseringer som til formidling af generationsskiftet indenfor erhvervet. Renter og afdrag af Marshallån bør indgå i en fond, hvoraf lån kan des til modernisering indenfor erhvervene, herunder til modernisering af landbrugsbygninger. Forskningen vedrørende rationalt landsbrugsbyggeri og nye samarbejdsformer mellem selvstændige bedrifter støttes. Der gives gartnerier adgang til etableringslån til drivhuse, varmeanlæg, o. lign. på afdragsvilkår, der står i rimeligt forhold til anlæggenes levetid. Den demokratiske ejerform indenfor fiskeriet, hvor de enkelte fiskere selv ejer fartøjer og redskaber, og medhjælperne aflønnes på udbyttedelingsbasis, bør bevares i størst muligt omfang. De stigende vanskeligheder ved financieringen af denne ejerform bør imødegås bl. a. ved øget adgang til skattefrie henlæggelser til senere investeringer og ved adgang til lån fra Marshall-midlerne. 8. Modernisering i håndværk og industri Staten bør støtte erhvervenes bestræbelser for udbredelse af kendskab til moderne virksomhedsledelse samt rationel tilrettelæggelse af produktion og afsætning."
RV_1955_chunk_009,RV_1955,party_program,Radikale Venstre,1955,Det Radikale Venstres program af 1955,2,erhverv_konkurrence_ivaerksaetteri,"Erhverv, konkurrence og iværksætteri",0.54,arbejdsmarked_beskaeftigelse,Arbejdsmarked og beskæftigelse,0.44,needs_review,"keyword:virksomheder, keyword:virksomhed, multi_keyword:2, keyword:beskæftigelse, keyword:arbejde, multi_keyword:2","Det bør særligt tilstræbes, at håndværket og den mindre industri bliver i stand til at udnytte den moderne teknik, så en selvstændig håndværkerstand stadig kan hævde sig. Ved samvirken mellem det offentlige og håndværket støttes håndværkerne i deres arbejde for rationelle værkstedsforhold, og der ydes ved udlån fra Marshallmidlerne i det hele taget håndværket bistand i dets rationaliseringsarbejde. Det offentlige skal i samarbejde med erhvervene rationalisere elproduktionen og fremme en hensigtsmæssig geografisk spredning af industrien, bl. a. ved en forbedret trafikplanlægning. 9. Interessefællesskab mellem arbejdsgivere, arbejdere, og funktionærer. Det offentlig bør opmuntre til en udvikling, der giver arbejdere og funktionærer i de større virksomheder direkte økonomisk interesse i bedriftens trivsel gennem en ved aftalte regler fastsat andel i de pågældende virksomheders overskud. Samarbejdet indenfor virksomhederne fremmes, så arbejdere og funktionærer får større indsigt i virksomhedernes drift og øget mulighed for at medvirke ved produktionens praktiske tilrettelæggelse. Arbejderne sikres betryggende opsigelsesfrister. Der bør sikres funktionærerne selvstændig repræsentation indenfor de offentlige organer, der behandler samarbejdsforhold indenfor erhvervslivet. De bør ligeledes repræsenteres i de af arbejdsgiverne og arbejderne oprettede samarbejdsudvalg. Beløb, der af en virksomhed sættes til side til pensionering af arbejdere og funktionærer, skal ikke kunne berøves dem ved overgang til anden beskæftigelse. 10. Mægling og voldgift. Når arbejdskonflikter truer, indbringes de for statens forligsinstitution. Der gives denne større mulighed end hidtil for at følge den erhvervs- og konkurrencemæssige udvikling og dermed et bedre sagligt grundlag for mægling."
